feature,coefficient,score_contribution,abs_contribution
B_1,3.601424920975584,103.91515747250804,103.91515747250804
P_2,-3.5838410617778163,-103.40779454322185,103.40779454322185
B_7,2.779637385768047,80.20338143834248,80.20338143834248
B_23,-2.287910775748187,-66.01515060336662,66.01515060336662
B_4,1.6435113322410495,47.42171297337951,47.42171297337951
B_37,-1.523656187001078,-43.96342450012485,43.96342450012485
B_11,-1.3023517557317195,-37.577928389743725,37.577928389743725
D_51,-1.1227574691387037,-32.39593265694902,32.39593265694902
D_75,-1.0176875688738698,-29.364256175773548,29.364256175773548
B_3,0.9984739938034327,28.8098695863362,28.8098695863362
R_3,0.9764448848585935,28.174243861737754,28.174243861737754
D_133,-0.8724010170953946,-25.172172420600273,25.172172420600273
D_46,0.8625988479266029,24.889341603604862,24.889341603604862
D_43,0.8624649379476297,24.88547777835306,24.88547777835306
B_14,0.8589736166944699,24.78473954119138,24.78473954119138
D_39,0.8201987151934458,23.665932379061672,23.665932379061672
D_121,0.8006844267931008,23.102869037028576,23.102869037028576
S_3,0.7914368779441263,22.8360411797327,22.8360411797327
D_47,-0.7886068455053978,-22.754383704434527,22.754383704434527
D_131,0.7349178181513358,21.205245834157385,21.205245834157385
B_20,-0.7100024974488433,-20.4863416417645,20.4863416417645
D_77,-0.7062704644950027,-20.378657933065703,20.378657933065703
B_28,-0.6494826532592042,-18.740108060009202,18.740108060009202
D_74,0.6482450987283653,18.704399784319783,18.704399784319783
D_41,0.5642569839488943,16.281015050600665,16.281015050600665
B_18,-0.5621833488226572,-16.221182588335957,16.221182588335957
B_2,-0.5540088730029491,-15.985317073796764,15.985317073796764
D_44,0.5496983100405247,15.860940517610178,15.860940517610178
D_54,-0.5268768732863577,-15.202453044986221,15.202453044986221
S_11,-0.4475327805733677,-12.913066463368924,12.913066463368924
S_7,0.4378110083431381,12.632555411664839,12.632555411664839
D_48,0.4314507189247271,12.449036251613636,12.449036251613636
D_112,-0.4174858938544263,-12.04609657409754,12.04609657409754
R_21,0.4004232554297487,11.553772897302263,11.553772897302263
B_5,-0.3995589713095378,-11.528834929019316,11.528834929019316
D_104,0.38805526763202175,11.196908204071146,11.196908204071146
B_16,0.3841533967392348,11.084324008326892,11.084324008326892
S_8,-0.3688042544691191,-10.641441379626988,10.641441379626988
D_127,-0.36359952530623096,-10.491264640577612,10.491264640577612
D_59,0.3534093231769761,10.197237559026968,10.197237559026968
R_1,0.3491693805801022,10.074898675863693,10.074898675863693
P_3,0.3457712065997212,9.976848100872221,9.976848100872221
R_5,0.3383524716283725,9.762788657815534,9.762788657815534
B_8,0.3327304384637772,9.600571070490036,9.600571070490036
D_103,-0.3232683747684364,-9.327553623093163,9.327553623093163
B_22,0.3160851464440449,9.120289465469707,9.120289465469707
D_60,0.3089279263207403,8.913775745900862,8.913775745900862
D_129,-0.29033842095852086,-8.377396001927806,8.377396001927806
D_70,0.289072084885733,8.34085726648161,8.34085726648161
D_118,-0.28495295758064904,-8.22200437576491,8.22200437576491
D_62,-0.28208095788396265,-8.13913598136803,8.13913598136803
D_58,0.2816058991426725,8.125428683564223,8.125428683564223
D_55,-0.2777842409744335,-8.0151589378184,8.0151589378184
B_9,0.27294051815608983,7.875398640029098,7.875398640029098
R_2,0.27080655879365223,7.813825588236152,7.813825588236152
D_79,0.26512318757276604,7.64983815871808,7.64983815871808
B_12,-0.2623756756427806,-7.570561721994615,7.570561721994615
P_4,0.26018678870599204,7.507403795419186,7.507403795419186
R_4,0.23864324868448414,6.885788628374739,6.885788628374739
B_33,0.23807081024384427,6.8692715463842315,6.8692715463842315
R_27,-0.23442668835352545,-6.764124414793074,6.764124414793074
D_122,-0.21923944883700844,-6.325913312087634,6.325913312087634
S_12,0.21634403532813218,6.2423693378760605,6.2423693378760605
D_61,0.213715907527074,6.16653759896788,6.16653759896788
R_13,0.2111246192748718,6.09176882474856,6.09176882474856
S_6,0.19773637531006738,5.705465761263862,5.705465761263862
D_102,-0.17869431352695117,-5.156027999207802,5.156027999207802
D_120,0.17379913739546365,5.014783072624301,5.014783072624301
R_12,-0.1586605649212893,-4.57797620393171,4.57797620393171
B_24,0.14666771676438622,4.231935752689742,4.231935752689742
S_23,0.13491414734271678,3.8927994263420085,3.8927994263420085
R_16,-0.13323990807774239,-3.844491092645206,3.844491092645206
D_52,-0.1285683084874168,-3.709697221405573,3.709697221405573
D_71,-0.1250547571966616,-3.608317560943942,3.608317560943942
R_10,0.12386343135632924,3.5739431633053345,3.5739431633053345
S_13,0.12058725490421794,3.4794126928945714,3.4794126928945714
D_119,-0.11968819136838857,-3.4534712028028687,3.4534712028028687
R_24,-0.11919253898238208,-3.4391696980169417,3.4391696980169417
R_8,0.11880954765014537,3.4281189041025146,3.4281189041025146
B_41,0.11848896891895361,3.418868957188418,3.418868957188418
S_27,-0.10911841926022492,-3.148492046727385,3.148492046727385
B_13,0.10699809055533127,3.087312292575293,3.087312292575293
D_65,0.10542957424257055,3.0420544784558263,3.0420544784558263
B_25,-0.10153986525107696,-2.9298212010052462,2.9298212010052462
R_15,-0.09930127166625631,-2.8652290437375143,2.8652290437375143
D_139,-0.08857190839103277,-2.5556450599562908,2.5556450599562908
D_72,0.08475453388956897,2.445498914706735,2.445498914706735
D_114,-0.08201681877376882,-2.3665051542881024,2.3665051542881024
B_30,-0.07420798856182158,-2.1411899418496985,2.1411899418496985
D_89,0.06996606000332903,2.0187937559468487,2.0187937559468487
D_92,0.06986549961420312,2.0158921964528127,2.0158921964528127
S_25,-0.06556503056219778,-1.8918068889563215,1.8918068889563215
D_124,0.06484967004955006,1.871165947675428,1.871165947675428
S_26,-0.0634948550182817,-1.8320742491367745,1.8320742491367745
S_15,0.06070208724416789,1.7514920047754043,1.7514920047754043
D_81,0.05030417235017636,1.451471599712463,1.451471599712463
D_63,0.04790537586211448,1.3822569637638882,1.3822569637638882
D_128,-0.047633579879412385,-1.374414589436331,1.374414589436331
D_125,0.04690342021586059,1.3533466349230645,1.3533466349230645
D_78,-0.04004157416620515,-1.155355609579436,1.155355609579436
D_117,-0.03931946962887808,-1.1345200768793322,1.1345200768793322
B_32,0.03787678128287079,1.092892890432672,1.092892890432672
S_24,0.0344928236845435,0.9952525135189658,0.9952525135189658
D_143,-0.03376575671234817,-0.9742737952153586,0.9742737952153586
D_141,-0.03246236856038687,-0.9366659627515986,0.9366659627515986
D_84,-0.03229170612807602,-0.9317416858563805,0.9317416858563805
D_107,0.031619460592099274,0.9123447798361126,0.9123447798361126
D_113,0.03151045147198446,0.9091994414960864,0.9091994414960864
B_21,0.03107679461903025,0.8966867496719952,0.8966867496719952
S_22,-0.0303511043638539,-0.8757477550247079,0.8757477550247079
D_91,0.030214162150678806,0.8717964379879867,0.8717964379879867
D_130,0.028779579198387317,0.8304031237676911,0.8304031237676911
D_45,0.02553176300062048,0.7366909573229498,0.7366909573229498
S_16,0.023646133066155206,0.6822831782148532,0.6822831782148532
S_5,0.02319406034930529,0.6692391168804416,0.6692391168804416
D_115,0.01950500969152539,0.562795615089097,0.562795615089097
B_19,-0.01096102350465286,-0.3162682850646009,0.3162682850646009
B_38,-0.006119101522067191,-0.17655994841164888,0.17655994841164888
D_145,-0.005827437336603497,-0.1681442989321811,0.1681442989321811
D_64,0.005672304900717511,0.16366812301350636,0.16366812301350636
D_68,-0.005599955412454018,-0.16158055805493443,0.16158055805493443
B_10,-0.005408888694373959,-0.15606753792187383,0.15606753792187383
B_6,-0.0044827126758313325,-0.12934374694303918,0.12934374694303918
B_40,0.0029846490970428553,0.086118769021949,0.086118769021949
R_14,0.0029114226868106226,0.08400590144386615,0.08400590144386615
R_6,-0.0017019070707109348,-0.04910665781937056,0.04910665781937056
B_26,0.0014705221724963602,0.042430300915555275,0.042430300915555275
R_7,0.0005499355583374519,0.0158677860564389,0.0158677860564389
R_20,7.728307459543718e-05,0.002229918169269781,0.002229918169269781
